,0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,0.0
0,154.6394021806459
0,150.0
0,217.95836760305883
0,275.63787447426785
0,150.0
0,150.0
0,237.75615474986535
0,150.0
0,150.0
0,150.0
0,150.0
0,250.55081226072298
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,156.9398327731269
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,0.36454028814932826
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,26.295326658115755
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,0.0
0,150.0
0,24.654829454410446
0,150.0
0,31.288265548479103
0,150.0
0,103.90036807137176
0,150.0
0,144.49119664515774
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,30.136632395933702
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,191.86108162723485
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,177.47253740103724
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,91.89465392663351
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,0.0
0,150.0
0,150.0
0,150.0
0,150.0
0,29.887148834230402
0,150.0
0,58.359021686030246
0,150.0
0,39.216173176584334
0,150.0
0,19.16179813568965
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,96.01703061582452
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,66.49403878771182
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,29.633153980882298
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,0.0
0,507.6032189653047
0,575.2332440914511
0,150.0
0,242.57340716509088
0,150.0
0,577.0198800762814
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,395.91101189888104
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,550.9491685593425
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,540.070388142658
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,253.18024507905193
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
0,150.0
